#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000258515.1	PRJNA85543	SAMN02470188	AJLF00000000.1	representative genome	1151117	54076	Thermococcus zilligii AN1	strain=AN1		latest	Contig	Major	Full	2012/04/11	TheZil1.0	Korea Research Institute of Bioscience and Biotechnology	GCF_000258515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/515/GCA_000258515.1_TheZil1.0		assembly from type material
GCA_002214465.1	PRJNA274230	SAMN03324153		representative genome	54077	54077	Thermococcus barossii	strain=SHCK-94		latest	Complete Genome	Major	Full	2017/07/05	ASM221446v1	Ecole Normale Superieure de Lyon	GCF_002214465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/465/GCA_002214465.1_ASM221446v1		assembly from type material
GCA_000147875.1	PRJNA40773	SAMN00017400		representative genome	679926	54120	Methanolacinia petrolearia DSM 11571			latest	Complete Genome	Major	Full	2010/09/17	ASM14787v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000147875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1		assembly from type material
GCA_000015145.1	PRJNA208	SAMN02604082		representative genome	415426	54248	Hyperthermus butylicus DSM 5456	strain=DSM 5456		latest	Complete Genome	Major	Full	2007/01/22	ASM1514v1	Univ. Copenhagen	GCF_000015145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1		assembly from type material
GCA_000223395.1	PRJNA48579	SAMN02232047		representative genome	694429	54252	Pyrolobus fumarii 1A	strain=1A		latest	Complete Genome	Major	Full	2011/08/12	ASM22339v1	DOE Joint Genome Institute	GCF_000223395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/395/GCA_000223395.1_ASM22339v1		assembly from type material
GCA_000092185.1	PRJNA36571	SAMN02598509		na	633148	54254	Thermosphaera aggregans DSM 11486	strain=DSM 11486		latest	Complete Genome	Major	Full	2010/05/17	ASM9218v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1		assembly from type material
GCA_001481685.1	PRJNA61347	SAMN04316368		representative genome	940295	54259	Ignicoccus islandicus DSM 13165	strain=DSM 13165		latest	Complete Genome	Major	Full	2015/12/23	ASM148168v1	Oak Ridge National Laboratory	GCF_001481685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1		assembly from type material
GCA_000025505.1	PRJNA33635	SAMN02598503		representative genome	589924	54261	Ferroglobus placidus DSM 10642	strain=DSM 10642		latest	Complete Genome	Major	Full	2010/02/16	ASM2550v1	US DOE Joint Genome Institute	GCF_000025505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1		assembly from type material
GCA_002214605.1	PRJNA274230	SAMN03324156		na	54262	54262	Thermococcus chitonophagus	strain=GC74		latest	Complete Genome	Major	Full	2017/07/05	ASM221460v1	Ecole Normale Superieure de Lyon	GCF_002214605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/605/GCA_002214605.1_ASM221460v1		assembly from type material
GCA_900012635.1	PRJEB12305	SAMEA3721282		na	54262	54262	Thermococcus chitonophagus		1	latest	Complete Genome	Major	Full	2016/04/15	Pyrococcus chitonophagus genome sequence	University of Athens	GCF_900012635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/012/635/GCA_900012635.1_Pyrococcus_chitonophagus_genome_sequence		
GCA_001639265.1	PRJNA318759	SAMN04867340	LWMT00000000.1	representative genome	55758	55758	Methanobrevibacter filiformis	strain=DSM 11501		latest	Contig	Major	Full	2016/04/29	ASM163926v1	Goettingen Genomics Laboratory	GCF_001639265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/265/GCA_001639265.1_ASM163926v1		assembly from type material
GCA_000151105.2	PRJNA19379	SAMN02603625		representative genome	391623	55802	Thermococcus barophilus MP	strain=MP		latest	Complete Genome	Major	Full	2010/12/17	ASM15110v2	Moore Foundation	GCF_000151105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/105/GCA_000151105.2_ASM15110v2		assembly from type material
GCA_001433455.1	PRJNA274261	SAMN03324231		na	55802	55802	Thermococcus barophilus	strain=CH5		latest	Complete Genome	Major	Full	2015/11/05	ASM143345v1	Ecole Normale Superieure de Lyon	GCF_001433455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/455/GCA_001433455.1_ASM143345v1		
GCA_000011125.1	PRJNA211	SAMD00061092		na	272557	56636	Aeropyrum pernix K1	strain=K1		latest	Complete Genome	Major	Full	2006/10/11	ASM1112v1	NITE	GCF_000011125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1	missing rRNA genes	assembly from type material
GCA_000023965.1	PRJNA27945	SAMN00002610		representative genome	485914	57705	Halomicrobium mukohataei DSM 12286	strain=DSM 12286		latest	Complete Genome	Major	Full	2009/09/03	ASM2396v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1		assembly from type material
GCA_000194625.1	PRJNA51621	SAMN00713598		representative genome	693661	58290	Archaeoglobus veneficus SNP6	strain=SNP6		latest	Complete Genome	Major	Full	2011/03/31	ASM19462v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000194625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1		assembly from type material
GCA_000172995.2	PRJNA20743	SAMN00002580		representative genome	469382	60847	Halogeometricum borinquense DSM 11551	strain=PR 3		latest	Complete Genome	Major	Full	2010/11/22	ASM17299v2	US DOE Joint Genome Institute (JGI-PGF)	GCF_000172995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2		assembly from type material
GCA_000337855.1	PRJNA174948	SAMN02471667	AOHT00000000.1	na	469382	60847	Halogeometricum borinquense DSM 11551	strain=DSM 11551		latest	Contig	Major	Full	2013/02/04	ASM33785v1	University of California, Davis	GCF_000337855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/855/GCA_000337855.1_ASM33785v1		assembly from type material
GCA_000337715.1	PRJNA174943	SAMN02471622	AOHY00000000.1	representative genome	1227500	61858	Natronorubrum bangense JCM 10635	strain=JCM 10635		latest	Contig	Major	Full	2013/02/04	ASM33771v1	University of California, Davis	GCF_000337715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/715/GCA_000337715.1_ASM33771v1		assembly from type material
GCA_000336915.1	PRJNA174898	SAMN02471639	AOMD00000000.1	representative genome	1227455	62319	Halococcus saccharolyticus DSM 5350	strain=DSM 5350		latest	Contig	Major	Full	2013/02/04	ASM33691v1	University of California, Davis	GCF_000336915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/915/GCA_000336915.1_ASM33691v1		assembly from type material
GCA_000025325.1	PRJNA30411	SAMN02598471		representative genome	543526	62320	Haloterrigena turkmenica DSM 5511	strain=DSM 5511		latest	Complete Genome	Major	Full	2010/01/19	ASM2532v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1		assembly from type material
GCA_001483125.1	PRJNA297157	SAMN04115933	LKCV00000000.1	na	62320	62320	Haloterrigena turkmenica	strain=WANU15		latest	Contig	Major	Full	2015/12/29	ASM148312v1	Aljouf university	GCF_001483125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/125/GCA_001483125.1_ASM148312v1		
GCA_001315925.1	PRJDB787	SAMD00000407	BBBF00000000.1	na	1293040	62609	Thermocladium modestius JCM 10088	strain=JCM 10088		latest	Contig	Major	Full	2015/10/01	ASM131592v1	The University of Tokyo	GCF_001315925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/925/GCA_001315925.1_ASM131592v1	abnormal gene to sequence ratio	assembly from type material
GCA_000337235.1	PRJNA174945	SAMN02471668	AOHW00000000.1	na	1114856	63128	Natronorubrum tibetense GA33	strain=GA33		latest	Contig	Major	Full	2013/02/04	ASM33723v1	University of California, Davis	GCF_000337235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/235/GCA_000337235.1_ASM33723v1		assembly from type material
GCA_000383975.1	PRJNA85145	SAMN02261315	ARPH00000000.1	representative genome	1114856	63128	Natronorubrum tibetense GA33	strain=GA33		latest	Scaffold	Major	Full	2013/04/26	ASM38397v1	JGI	GCF_000383975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/975/GCA_000383975.1_ASM38397v1		assembly from type material
GCA_900188065.1	PRJEB21398	SAMN06264855	FZNQ00000000.1	representative genome	63740	63740	Halorubrum vacuolatum	strain=DSM 8800		latest	Contig	Major	Full	2017/07/16	IMG-taxon 2724679803 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900188065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/188/065/GCA_900188065.1_IMG-taxon_2724679803_annotated_assembly		assembly from type material
GCA_000337555.1	PRJNA174930	SAMN02471653	AOIO00000000.1	representative genome	29540	64602	Natrialba asiatica DSM 12278	strain=DSM 12278		latest	Contig	Major	Full	2013/02/04	ASM33755v1	University of California, Davis	GCF_000337555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/555/GCA_000337555.1_ASM33755v1		assembly from type material
GCA_000337035.1	PRJNA174913	SAMN02471634	AOJL00000000.1	representative genome	1227466	64713	Halorubrum coriense DSM 10284	strain=DSM 10284		latest	Contig	Major	Full	2013/02/04	ASM33703v1	University of California, Davis	GCF_000337035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/035/GCA_000337035.1_ASM33703v1		assembly from type material
GCA_000529525.1	PRJEB4880	SAMEA3138857	CBWS000000000.1	na	1415626	66851	Methanobrevibacter oralis JMR01	strain=JMR01		latest	Scaffold	Major	Full	2014/01/15	Methanobrevibacter oralis JMR01	URMITE	GCF_000529525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/529/525/GCA_000529525.1_Methanobrevibacter_oralis_JMR01		
GCA_001639275.1	PRJNA318760	SAMN04867341	LWMU00000000.1	representative genome	66851	66851	Methanobrevibacter oralis	strain=DSM 7256		latest	Contig	Major	Full	2016/04/29	ASM163927v1	Goettingen Genomics Laboratory	GCF_001639275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/275/GCA_001639275.1_ASM163927v1		assembly from type material
GCA_000092305.1	PRJNA32611	SAMN00017484		representative genome	573063	67760	Methanocaldococcus infernus ME	strain=ME		latest	Complete Genome	Major	Full	2010/04/30	ASM9230v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1		assembly from type material
GCA_000337135.1	PRJNA174931	SAMN02471674	AOIN00000000.1	na	1227492	68911	Natrialba chahannaoensis JCM 10990	strain=JCM 10990		latest	Contig	Major	Full	2013/02/04	ASM33713v1	University of California, Davis	GCF_000337135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/135/GCA_000337135.1_ASM33713v1		assembly from type material
GCA_000230735.3	PRJNA52951	SAMN02261373		representative genome	797303	69525	Natrinema pellirubrum DSM 15624	strain=DSM 15624		latest	Complete Genome	Major	Full	2012/12/27	ASM23073v3	JGI	GCF_000230735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/735/GCA_000230735.3_ASM23073v3		assembly from type material
GCA_000337635.1	PRJNA174937	SAMN02471626	AOIE00000000.1	na	797303	69525	Natrinema pellirubrum DSM 15624	strain=DSM 15624		latest	Contig	Major	Full	2013/02/04	ASM33763v1	University of California, Davis	GCF_000337635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/635/GCA_000337635.1_ASM33763v1		assembly from type material
GCA_000337615.1	PRJNA174936	SAMN02471671	AOII00000000.1	na	1227495	69527	Natrinema pallidum DSM 3751	strain=DSM 3751		latest	Contig	Major	Full	2013/02/04	ASM33761v1	University of California, Davis	GCF_000337615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/615/GCA_000337615.1_ASM33761v1		assembly from type material
GCA_000019805.1	PRJNA15645	SAMN02598332		na	444157	70771	Pyrobaculum neutrophilum V24Sta	strain=V24Sta		latest	Complete Genome	Major	Full	2008/03/27	ASM1980v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000019805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/805/GCA_000019805.1_ASM1980v1	missing rRNA genes	assembly from type material
GCA_000430905.1	PRJNA188868	SAMN02441137	AUMX00000000.1	representative genome	1122230	71518	Methanocorpusculum bavaricum DSM 4179	strain=DSM 4179		latest	Scaffold	Major	Full	2013/07/16	ASM43090v1	DOE Joint Genome Institute	GCF_000430905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/905/GCA_000430905.1_ASM43090v1		assembly from type material
GCA_002214385.1	PRJNA274230	SAMN03324159		representative genome	71997	71997	Thermococcus gorgonarius	strain=W-12		latest	Complete Genome	Major	Full	2017/07/05	ASM221438v1	Ecole Normale Superieure de Lyon	GCF_002214385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/385/GCA_002214385.1_ASM221438v1		assembly from type material
GCA_002214485.1	PRJNA274230	SAMN03324161		representative genome	71998	71998	Thermococcus pacificus	strain=P-4		latest	Complete Genome	Major	Full	2017/07/05	ASM221448v1	Ecole Normale Superieure de Lyon	GCF_002214485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/485/GCA_002214485.1_ASM221448v1		assembly from type material
GCA_002214505.1	PRJNA274230	SAMN03324165		representative genome	72803	72803	Thermococcus siculi	strain=RG-20		latest	Complete Genome	Major	Full	2017/07/05	ASM221450v1	Ecole Normale Superieure de Lyon	GCF_002214505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/505/GCA_002214505.1_ASM221450v1		assembly from type material
GCA_000024625.1	PRJNA33047	SAMN02598493		representative genome	579137	73913	Methanocaldococcus vulcanius M7	strain=M7		latest	Complete Genome	Major	Full	2009/10/15	ASM2462v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000024625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1		assembly from type material
GCA_002078355.1	PRJNA316151	SAMN03952737		na	74969	74969	Ferroplasma acidiphilum	strain=Y		latest	Complete Genome	Major	Full	2017/04/04	ASM207835v1	Max Planck Institute for Chemical Ecology	GCF_002078355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/355/GCA_002078355.1_ASM207835v1		assembly from type material
GCA_000018305.1	PRJNA17421	SAMN00623034		representative genome	397948	76887	Caldivirga maquilingensis IC-167	strain=IC-167		latest	Complete Genome	Major	Full	2007/10/05	ASM1830v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000018305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1		assembly from type material
GCA_001315825.1	PRJDB782	SAMD00000474	BBBA00000000.1	na	1293036	79601	Metallosphaera hakonensis JCM 8857	strain=JCM 8857		latest	Contig	Major	Full	2015/10/01	ASM131582v1	The University of Tokyo	GCF_001315825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/825/GCA_001315825.1_ASM131582v1	many frameshifted proteins	assembly from type material
GCA_000008265.1	PRJNA10641	SAMN02603345		representative genome	263820	82076	Picrophilus torridus DSM 9790	strain=DSM 9790		latest	Complete Genome	Major	Full	2004/06/08	ASM826v1	Institut of Microbiology and Genetics, University of Goettingen	GCF_000008265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/265/GCA_000008265.1_ASM826v1		assembly from type material
GCA_000023985.1	PRJNA32615	SAMN02598490		representative genome	573064	83171	Methanocaldococcus fervens AG86	strain=AG86		latest	Complete Genome	Major	Full	2009/08/28	ASM2398v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1		assembly from type material
GCA_000024185.1	PRJNA34681	SAMN02603710		representative genome	634498	83816	Methanobrevibacter ruminantium M1	strain=M1		latest	Complete Genome	Major	Full	2010/02/05	ASM2418v1	Pastoral Greenhouse Gas Research Consortium	GCF_000024185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1		assembly from type material
GCA_000966265.1	PRJNA33583	SAMN02744072	LANF00000000.1	representative genome	588319	83868	Palaeococcus ferrophilus DSM 13482	strain=DSM 13482		latest	Contig	Major	Full	2015/03/30	ASM96626v1	DOE Joint Genome Institute	GCF_000966265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/265/GCA_000966265.1_ASM96626v1		assembly from type material
GCA_000015765.1	PRJNA18109	SAMN00623052		representative genome	410358	83984	Methanocorpusculum labreanum Z	strain=Z		latest	Complete Genome	Major	Full	2007/02/01	ASM1576v1	DOE Joint Genome Institute	GCF_000015765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/765/GCA_000015765.1_ASM1576v1		assembly from type material
GCA_000304355.2	PRJEB167	SAMEA2272323		representative genome	1201294	83986	Methanoculleus bourgensis MS2	strain=MS2T		latest	Complete Genome	Major	Full	2014/02/04	Mb_MS2	irena.maus	GCF_000304355.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/355/GCA_000304355.2_Mb_MS2		assembly from type material
GCA_900079125.1	PRJEB13327	SAMEA3921042		na	83986	83986	Methanoculleus bourgensis		BA1	latest	Complete Genome	Major	Full	2016/05/05	MBBA	CEBITEC	GCF_900079125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/125/GCA_900079125.1_MBBA		
GCA_000025285.1	PRJNA32583	SAMN00017459		representative genome	572546	84156	Archaeoglobus profundus DSM 5631	strain=DSM 5631		latest	Complete Genome	Major	Full	2010/01/19	ASM2528v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1		assembly from type material
GCA_000092465.1	PRJNA33683	SAMN00002730		na	591019	84599	Staphylothermus hellenicus DSM 12710	strain=DSM 12710		latest	Complete Genome	Major	Full	2010/06/01	ASM9246v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/465/GCA_000092465.1_ASM9246v1		assembly from type material
GCA_900036045.1	PRJEB12532	SAMEA3857231		na	86622	86622	Methanoculleus sp. MAB1		Methanoculleus sp MAB1	latest	Complete Genome	Major	Full	2016/02/15	Methanoculleus sp MAB1	SLU	GCF_900036045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/036/045/GCA_900036045.1_Methanoculleus_sp_MAB1		
GCA_000337195.1	PRJNA174938	SAMN02471670	AOID00000000.1	representative genome	1227496	88724	Natrinema versiforme JCM 10478	strain=JCM 10478		latest	Contig	Major	Full	2013/02/04	ASM33719v1	University of California, Davis	GCF_000337195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/195/GCA_000337195.1_ASM33719v1		assembly from type material
GCA_000020905.1	PRJNA28141	SAMN02603098		representative genome	490899	94694	Desulfurococcus amylolyticus 1221n	strain=1221n		latest	Complete Genome	Major	Full	2008/12/24	ASM2090v1	Centre 'Bioengineering' RAS	GCF_000020905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/905/GCA_000020905.1_ASM2090v1		assembly from type material
GCA_000231015.3	PRJNA49401	SAMN02232017		na	768672	94694	Desulfurococcus amylolyticus DSM 16532	strain=DSM 16532		latest	Complete Genome	Major	Full	2012/06/07	ASM23101v3	DOE Joint Genome Institute	GCF_000231015.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/015/GCA_000231015.3_ASM23101v3		assembly from type material
GCA_000513855.1	PRJNA210335	SAMN02597199	AZUU00000000.1	na	1150674	94694	Desulfurococcus amylolyticus Z-533	strain=Z-533		latest	Scaffold	Major	Full	2014/01/07	ASM51385v1	DOE Joint Genome Institute	GCF_000513855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/855/GCA_000513855.1_ASM51385v1		assembly from type material
GCA_000152265.2	PRJNA239	SAMN02604346		representative genome	333146	97393	Ferroplasma acidarmanus fer1	strain=fer1		latest	Complete Genome	Major	Full	2013/06/26	ASM15226v2	DOE Joint Genome Institute	GCF_000152265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/265/GCA_000152265.2_ASM15226v2		assembly from type material
GCA_000247545.1	PRJNA42375	SAMN02604076		na	698757	99007	Pyrobaculum oguniense TE7	strain=TE7		latest	Complete Genome	Major	Full	2012/02/10	ASM24754v1	UCSC-Lowelab	GCF_000247545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/545/GCA_000247545.1_ASM24754v1	missing rRNA genes	assembly from type material
GCA_000328665.1	PRJNA50749	SAMN02261367		representative genome	867904	101192	Methanomethylovorans hollandica DSM 15978	strain=DSM 15978		latest	Complete Genome	Major	Full	2012/12/28	ASM32866v1	JGI	GCF_000328665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/665/GCA_000328665.1_ASM32866v1		assembly from type material
GCA_000816105.1	PRJNA230529	SAMN02429659		representative genome	1432656	110164	Thermococcus guaymasensis DSM 11113	strain=DSM 11113		latest	Complete Genome	Major	Full	2015/01/07	ASM81610v1	University of Waterloo	GCF_000816105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/105/GCA_000816105.1_ASM81610v1		assembly from type material
GCA_000011205.1	PRJNA246	SAMD00061096		representative genome	273063	111955	Sulfolobus tokodaii str. 7	strain=7		latest	Complete Genome	Major	Full	2004/05/11	ASM1120v1	NITE	GCF_000011205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1		assembly from type material
GCA_001006045.1	PRJNA258102	SAMN02988852		representative genome	113653	113653	Geoglobus ahangari	strain=234		latest	Complete Genome	Major	Full	2015/05/11	ASM100604v1	Michigan State University	GCF_001006045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1		assembly from type material
GCA_000336735.1	PRJNA174901	SAMN02471657	AOLL00000000.1	na	1227458	114529	Haloferax alexandrinus JCM 10717	strain=JCM 10717		latest	Contig	Major	Full	2013/02/04	ASM33673v1	University of California, Davis	GCF_000336735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/735/GCA_000336735.1_ASM33673v1		assembly from type material
GCA_000723845.1	PRJEB5511	SAMEA3139050	CCDK000000000.1	na	114529	114529	Haloferax alexandrinus	strain=Arc-Hr		latest	Scaffold	Major	Full	2014/06/12	PRJEB5511_assembly_1	URMITE	GCF_000723845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/845/GCA_000723845.1_PRJEB5511_assembly_1		
GCA_000965745.1	PRJNA256113	SAMN02940502		na	115547	115547	uncultured archaeon			latest	Chromosome	Major	Partial	2015/03/30	ASM96574v1	CSIRO	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/965/745/GCA_000965745.1_ASM96574v1	derived from environmental source ; partial	
GCA_900095295.1	PRJEB14599	SAMEA4378819		representative genome	118062	118062	Methanobacterium congolense		Buetzberg	latest	Complete Genome	Major	Full	2016/09/08	MCBB	CEBITEC	GCF_900095295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/295/GCA_900095295.1_MCBB		
GCA_001315965.1	PRJDB789	SAMD00000410	BBBH00000000.1	na	1293042	118126	Methanoculleus chikugoensis JCM 10825	strain=JCM 10825		latest	Contig	Major	Full	2015/10/01	ASM131596v1	The University of Tokyo	GCF_001315965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/965/GCA_001315965.1_ASM131596v1	many frameshifted proteins	assembly from type material
GCA_900095385.1	PRJEB15169	SAMEA4384483	FMID00000000.1	representative genome	118126	118126	Methanoculleus chikugoensis		L21-II-0	latest	Contig	Major	Full	2016/12/16	L21	CEBITEC	GCF_900095385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/385/GCA_900095385.1_L21		
GCA_000337415.1	PRJNA174921	SAMN02471631	AOJD00000000.1	representative genome	1227485	119434	Halorubrum tebenquichense DSM 14210	strain=DSM 14210		latest	Contig	Major	Full	2013/02/04	ASM33741v1	University of California, Davis	GCF_000337415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/415/GCA_000337415.1_ASM33741v1		assembly from type material
GCA_000016385.1	PRJNA15582	SAMN02598330		na	340102	121277	Pyrobaculum arsenaticum DSM 13514	strain=DSM 13514		latest	Complete Genome	Major	Full	2007/04/16	ASM1638v1	DOE Joint Genome Institute	GCF_000016385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/385/GCA_000016385.1_ASM1638v1	missing rRNA genes	assembly from type material
GCA_000337115.1	PRJNA174927	SAMN02471662	AOIR00000000.1	na	1227489	121872	Haloterrigena thermotolerans DSM 11522	strain=DSM 11522		latest	Contig	Major	Full	2013/02/04	ASM33711v1	University of California, Davis	GCF_000337115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/115/GCA_000337115.1_ASM33711v1		
GCA_002214525.1	PRJNA274230	SAMN03324166		na	122420	122420	Thermococcus sp. P6	strain=P6		latest	Complete Genome	Major	Full	2017/07/05	ASM221452v1	Ecole Normale Superieure de Lyon	GCF_002214525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/525/GCA_002214525.1_ASM221452v1		
